id,especialidad,caso,estado,version_folio,fecha,profesional,evidencia_privada,restricciones
Q01,quiropraxia,Adulto,PENDIENTE,,,,,
Q02,quiropraxia,Menor de 13,PENDIENTE,,,,,
Q03,quiropraxia,Adolescente 13-15,PENDIENTE,,,,,
Q04,quiropraxia,Adolescente 16-17,PENDIENTE,,,,,
Q05,quiropraxia,Hermanos con contactos compartidos,PENDIENTE,,,,,
Q06,quiropraxia,Representacion vencida o revocada,PENDIENTE,,,,,
Q07,quiropraxia,Historia extensa exportada y restaurada,PENDIENTE,,,,,
Q08,quiropraxia,Conexion interrumpida y dos pestanas,PENDIENTE,,,,,
C01,cardiologia,Adulto,PENDIENTE,,,,,
C02,cardiologia,Menor de 13,PENDIENTE,,,,,
C03,cardiologia,Adolescente 13-15,PENDIENTE,,,,,
C04,cardiologia,Adolescente 16-17,PENDIENTE,,,,,
C05,cardiologia,Hermanos con contactos compartidos,PENDIENTE,,,,,
C06,cardiologia,Representacion vencida o revocada,PENDIENTE,,,,,
C07,cardiologia,Historia extensa exportada y restaurada,PENDIENTE,,,,,
C08,cardiologia,Conexion interrumpida y dos pestanas,PENDIENTE,,,,,
P01,psicologia,Adulto,PENDIENTE,,,,,
P02,psicologia,Menor de 13,PENDIENTE,,,,,
P03,psicologia,Adolescente 13-15,PENDIENTE,,,,,
P04,psicologia,Adolescente 16-17,PENDIENTE,,,,,
P05,psicologia,Hermanos con contactos compartidos,PENDIENTE,,,,,
P06,psicologia,Representacion vencida o revocada,PENDIENTE,,,,,
P07,psicologia,Historia extensa exportada y restaurada,PENDIENTE,,,,,
P08,psicologia,Conexion interrumpida y dos pestanas,PENDIENTE,,,,,
